rank,dead,level,class,experience,challenges,twitch,ladder
9486,FALSE,95,Pathfinder,2883245214,40,killtill,Harbinger
9486,TRUE,90,Necromancer,2013977635,27,ev3rfade,Hardcore Harbinger
9486,FALSE,80,Gladiator,892031833,13,null,SSF Harbinger
9486,TRUE,68,Gladiator,304972236,15,null,SSF Harbinger HC
9487,TRUE,68,Berserker,304972236,17,null,SSF Harbinger HC
9487,FALSE,90,Inquisitor,2013931650,19,null,Hardcore Harbinger
9487,FALSE,80,Berserker,892027780,28,null,SSF Harbinger
9487,FALSE,95,Berserker,2883244337,23,null,Harbinger
9488,TRUE,68,Juggernaut,304972236,13,null,SSF Harbinger HC
9488,FALSE,95,Raider,2883232426,39,null,Harbinger
9488,FALSE,80,Pathfinder,891989078,23,null,SSF Harbinger
9488,TRUE,90,Chieftain,2013930682,24,asermater,Hardcore Harbinger
9489,TRUE,90,Slayer,2013905366,28,null,Hardcore Harbinger
9489,FALSE,80,Inquisitor,891827465,36,s4bber,SSF Harbinger
9489,FALSE,95,Saboteur,2883230854,37,null,Harbinger
9489,TRUE,68,Necromancer,304972236,13,null,SSF Harbinger HC
9490,FALSE,95,Trickster,2883223273,40,neopolitandream,Harbinger
9490,TRUE,68,Gladiator,304972236,13,null,SSF Harbinger HC
9490,FALSE,90,Slayer,2013877294,19,null,Hardcore Harbinger
9490,FALSE,80,Raider,891801063,17,null,SSF Harbinger
9491,TRUE,90,Trickster,2013859024,21,null,Hardcore Harbinger
9491,TRUE,68,Gladiator,304972236,13,null,SSF Harbinger HC
9491,FALSE,80,Pathfinder,891758115,27,kheopsgaming,SSF Harbinger
9491,FALSE,95,Raider,2883220670,36,null,Harbinger
9492,FALSE,95,Pathfinder,2883208876,36,null,Harbinger
9492,TRUE,68,Necromancer,304972236,31,jimbobkevint,SSF Harbinger HC
9492,FALSE,80,Hierophant,891741232,23,null,SSF Harbinger
9492,FALSE,90,Juggernaut,2013840761,21,twitchaudren,Hardcore Harbinger
9493,FALSE,90,Trickster,2013839234,26,sirdance,Hardcore Harbinger
9493,TRUE,68,Raider,304972236,21,null,SSF Harbinger HC
9493,FALSE,95,Raider,2883205895,40,null,Harbinger
9493,FALSE,80,Necromancer,891677011,19,null,SSF Harbinger
9494,FALSE,95,Necromancer,2883199685,40,null,Harbinger
9494,FALSE,80,Guardian,891644940,18,jaxtron,SSF Harbinger
9494,TRUE,90,Pathfinder,2013800054,40,gearboxed,Hardcore Harbinger
9494,TRUE,68,Inquisitor,304972236,12,null,SSF Harbinger HC
9495,FALSE,90,Ascendant,2013787646,40,nedieth,Hardcore Harbinger
9495,TRUE,68,Slayer,304972236,23,null,SSF Harbinger HC
9495,FALSE,95,Slayer,2883194157,29,gaistlol,Harbinger
9495,FALSE,80,Assassin,890791532,13,null,SSF Harbinger
9496,FALSE,80,Slayer,890442694,14,smaepdii,SSF Harbinger
9496,FALSE,95,Pathfinder,2883188437,34,null,Harbinger
9496,TRUE,68,Necromancer,304972236,10,null,SSF Harbinger HC
9496,TRUE,90,Berserker,2013748280,34,monthuhotep,Hardcore Harbinger
9497,FALSE,90,Inquisitor,2013725788,40,null,Hardcore Harbinger
9497,FALSE,80,Slayer,890381428,14,lzfx,SSF Harbinger
9497,TRUE,68,Ascendant,304972236,18,null,SSF Harbinger HC
9497,FALSE,95,Slayer,2883177711,40,bananahead_o7,Harbinger
9498,FALSE,90,Trickster,2013700365,25,null,Hardcore Harbinger
9498,TRUE,68,Gladiator,304972236,17,null,SSF Harbinger HC
9498,FALSE,80,Berserker,890372605,15,null,SSF Harbinger
9498,FALSE,95,Berserker,2883177357,40,keia0486,Harbinger
9499,FALSE,80,Inquisitor,890215844,14,null,SSF Harbinger
9499,FALSE,95,Raider,2883172938,40,null,Harbinger
9499,TRUE,68,Slayer,304972236,24,cokelord5,SSF Harbinger HC
9499,TRUE,90,Pathfinder,2013698291,25,null,Hardcore Harbinger
9500,FALSE,95,Raider,2883171342,28,null,Harbinger
9500,FALSE,80,Hierophant,890155473,14,null,SSF Harbinger
9500,TRUE,68,Berserker,304972236,29,null,SSF Harbinger HC
9500,TRUE,90,Pathfinder,2013693634,19,null,Hardcore Harbinger
9501,FALSE,95,Pathfinder,2883164863,28,null,Harbinger
9501,TRUE,68,Juggernaut,304972236,13,seddorikku,SSF Harbinger HC
9501,FALSE,80,Ascendant,890142107,22,null,SSF Harbinger
9501,TRUE,90,Chieftain,2013692221,27,null,Hardcore Harbinger
9502,TRUE,68,Necromancer,304972236,16,shrike_k,SSF Harbinger HC
9502,TRUE,90,Chieftain,2013667185,23,null,Hardcore Harbinger
9502,FALSE,80,Ascendant,889797247,21,null,SSF Harbinger
9502,FALSE,95,Slayer,2883162462,38,elliottsfreestoof,Harbinger
9503,TRUE,68,Chieftain,304972236,13,null,SSF Harbinger HC
9503,FALSE,80,Gladiator,889790800,21,null,SSF Harbinger
9503,FALSE,95,Berserker,2883153541,40,waskely,Harbinger
9503,TRUE,90,Trickster,2013645758,24,mr0netw0,Hardcore Harbinger
9504,FALSE,95,Gladiator,2883153455,27,null,Harbinger
9504,TRUE,68,Occultist,304972236,11,hleeo,SSF Harbinger HC
9504,TRUE,90,Assassin,2013576518,26,null,Hardcore Harbinger
9504,FALSE,80,Raider,889745924,17,null,SSF Harbinger
9505,FALSE,80,Gladiator,889565025,16,null,SSF Harbinger
9505,FALSE,90,Raider,2013571235,20,null,Hardcore Harbinger
9505,FALSE,95,Slayer,2883145170,39,null,Harbinger
9505,TRUE,68,Inquisitor,304972236,20,null,SSF Harbinger HC
9506,TRUE,68,Juggernaut,304972236,28,null,SSF Harbinger HC
9506,FALSE,95,Necromancer,2883142640,26,null,Harbinger
9506,FALSE,80,Deadeye,889562249,25,null,SSF Harbinger
9506,TRUE,90,Berserker,2013569896,38,null,Hardcore Harbinger
9507,TRUE,90,Berserker,2013513999,23,null,Hardcore Harbinger
9507,FALSE,95,Raider,2883138252,40,xul218,Harbinger
9507,FALSE,80,Witch,889303953,15,null,SSF Harbinger
9507,TRUE,68,Inquisitor,304972236,8,null,SSF Harbinger HC
9508,TRUE,68,Ascendant,304972236,16,null,SSF Harbinger HC
9508,TRUE,90,Berserker,2013496518,31,waxmywand,Hardcore Harbinger
9508,FALSE,95,Saboteur,2883133388,31,abletz,Harbinger
9508,FALSE,80,Assassin,889209427,25,null,SSF Harbinger
9509,FALSE,80,Trickster,889063319,13,null,SSF Harbinger
9509,FALSE,95,Pathfinder,2883132916,36,null,Harbinger
9509,TRUE,90,Ascendant,2013460534,27,skizzik53,Hardcore Harbinger
9509,FALSE,67,Berserker,304008904,11,null,SSF Harbinger HC
9510,FALSE,80,Necromancer,888966532,28,null,SSF Harbinger
9510,FALSE,95,Pathfinder,2883131203,22,null,Harbinger
9510,FALSE,90,Champion,2013371144,22,null,Hardcore Harbinger
9510,FALSE,67,Inquisitor,303733293,9,null,SSF Harbinger HC
9511,TRUE,90,Necromancer,2013236899,20,kawaiibutachan,Hardcore Harbinger
9511,FALSE,95,Ascendant,2883126361,36,null,Harbinger
9511,FALSE,80,Slayer,888866023,22,tyrzlolz,SSF Harbinger
9511,FALSE,67,Necromancer,303666759,15,null,SSF Harbinger HC
9512,FALSE,80,Gladiator,888724693,13,null,SSF Harbinger
9512,TRUE,90,Necromancer,2013220977,28,null,Hardcore Harbinger
9512,FALSE,95,Slayer,2883123274,29,null,Harbinger
9512,TRUE,67,Assassin,303408027,20,null,SSF Harbinger HC
9513,FALSE,95,Pathfinder,2883114734,29,null,Harbinger
9513,FALSE,67,Raider,303161090,13,null,SSF Harbinger HC
9513,FALSE,80,Saboteur,888652224,27,null,SSF Harbinger
9513,FALSE,90,Slayer,2013124216,32,null,Hardcore Harbinger
9514,FALSE,95,Necromancer,2883110953,40,null,Harbinger
9514,FALSE,80,Berserker,888585971,20,null,SSF Harbinger
9514,TRUE,67,Necromancer,303095490,18,null,SSF Harbinger HC
9514,TRUE,90,Inquisitor,2013082482,25,null,Hardcore Harbinger
9515,TRUE,67,Occultist,302683525,15,null,SSF Harbinger HC
9515,FALSE,95,Elementalist,2883105101,40,null,Harbinger
9515,FALSE,80,Slayer,888582743,22,eltono28,SSF Harbinger
9515,FALSE,90,Trickster,2013078934,21,wuggler,Hardcore Harbinger
9516,TRUE,67,Gladiator,302673365,9,null,SSF Harbinger HC
9516,FALSE,80,Gladiator,888237788,18,null,SSF Harbinger
9516,FALSE,95,Assassin,2883098106,40,null,Harbinger
9516,TRUE,90,Gladiator,2013065266,23,null,Hardcore Harbinger
9517,FALSE,90,Berserker,2013030455,22,beyde,Hardcore Harbinger
9517,FALSE,80,Saboteur,888001083,22,null,SSF Harbinger
9517,TRUE,67,Slayer,302650604,18,null,SSF Harbinger HC
9517,FALSE,95,Pathfinder,2883096999,40,megasmurfkill,Harbinger
9518,FALSE,80,Berserker,887933667,14,null,SSF Harbinger
9518,TRUE,67,Berserker,302635185,14,null,SSF Harbinger HC
9518,FALSE,95,Pathfinder,2883085617,40,null,Harbinger
9518,TRUE,90,Juggernaut,2013018758,24,null,Hardcore Harbinger
9519,TRUE,67,Inquisitor,302625069,20,null,SSF Harbinger HC
9519,FALSE,80,Gladiator,887571196,11,null,SSF Harbinger
9519,FALSE,95,Pathfinder,2883084683,40,grokuick,Harbinger
9519,TRUE,90,Inquisitor,2013000597,15,woopiy,Hardcore Harbinger
9520,FALSE,95,Pathfinder,2883071583,31,null,Harbinger
9520,TRUE,90,Slayer,2012957250,31,null,Hardcore Harbinger
9520,FALSE,67,Hierophant,302568517,23,null,SSF Harbinger HC
9520,FALSE,80,Slayer,887565615,16,null,SSF Harbinger
9521,FALSE,95,Pathfinder,2883040411,40,null,Harbinger
9521,FALSE,80,Inquisitor,887311480,30,null,SSF Harbinger
9521,FALSE,90,Necromancer,2012951500,21,null,Hardcore Harbinger
9521,TRUE,67,Raider,302490239,14,null,SSF Harbinger HC
9522,TRUE,67,Ascendant,302355390,26,null,SSF Harbinger HC
9522,TRUE,90,Necromancer,2012939728,19,ranchinator123,Hardcore Harbinger
9522,FALSE,80,Trickster,887249587,14,null,SSF Harbinger
9522,FALSE,95,Slayer,2883034607,33,null,Harbinger
9523,FALSE,90,Juggernaut,2012857429,25,timmeyboii,Hardcore Harbinger
9523,TRUE,67,Necromancer,302214467,16,null,SSF Harbinger HC
9523,FALSE,95,Raider,2883025072,38,bobymanism,Harbinger
9523,FALSE,80,Chieftain,887230511,15,null,SSF Harbinger
9524,FALSE,80,Assassin,887186795,23,null,SSF Harbinger
9524,TRUE,67,Trickster,302162142,23,null,SSF Harbinger HC
9524,FALSE,95,Pathfinder,2883015867,30,null,Harbinger
9524,TRUE,90,Berserker,2012848978,26,null,Hardcore Harbinger
9525,TRUE,90,Ascendant,2012803391,27,null,Hardcore Harbinger
9525,TRUE,67,Gladiator,302083437,18,mgsmoosh,SSF Harbinger HC
9525,FALSE,80,Necromancer,886968423,36,null,SSF Harbinger
9525,FALSE,95,Guardian,2883005475,36,null,Harbinger
9526,FALSE,80,Juggernaut,886669433,32,null,SSF Harbinger
9526,FALSE,67,Ascendant,302075669,28,null,SSF Harbinger HC
9526,FALSE,90,Chieftain,2012631686,23,null,Hardcore Harbinger
9526,FALSE,95,Necromancer,2882998278,36,null,Harbinger
9527,FALSE,80,Necromancer,886659657,12,null,SSF Harbinger
9527,FALSE,95,Necromancer,2882992538,31,mirogorchakov,Harbinger
9527,TRUE,90,Slayer,2012629154,24,null,Hardcore Harbinger
9527,TRUE,67,Gladiator,302044480,13,null,SSF Harbinger HC
9528,TRUE,90,Slayer,2012611220,25,null,Hardcore Harbinger
9528,FALSE,80,Necromancer,886637580,13,null,SSF Harbinger
9528,TRUE,67,Inquisitor,301984319,21,null,SSF Harbinger HC
9528,FALSE,95,Inquisitor,2882977573,27,macahbre,Harbinger
9529,FALSE,95,Ascendant,2882975738,36,null,Harbinger
9529,FALSE,80,Inquisitor,886431270,14,null,SSF Harbinger
9529,TRUE,67,Berserker,301957556,20,null,SSF Harbinger HC
9529,TRUE,90,Inquisitor,2012538070,24,null,Hardcore Harbinger
9530,FALSE,67,Raider,301930130,12,null,SSF Harbinger HC
9530,FALSE,95,Slayer,2882960642,36,null,Harbinger
9530,FALSE,80,Slayer,886416962,18,null,SSF Harbinger
9531,FALSE,95,Pathfinder,2882957046,27,null,Harbinger
9531,FALSE,90,Chieftain,2012436245,26,null,Hardcore Harbinger
9531,TRUE,67,Ascendant,301896120,38,null,SSF Harbinger HC
9531,FALSE,80,Inquisitor,886403448,36,shalq,SSF Harbinger
9532,FALSE,95,Pathfinder,2882949774,29,tomshuu,Harbinger
9532,TRUE,67,Occultist,301863196,12,null,SSF Harbinger HC
9532,TRUE,90,Inquisitor,2012425188,21,null,Hardcore Harbinger
9532,FALSE,80,Occultist,886305447,30,null,SSF Harbinger
9533,FALSE,95,Slayer,2882948052,30,null,Harbinger
9533,FALSE,90,Berserker,2012330753,16,null,Hardcore Harbinger
9533,FALSE,80,Assassin,886153965,24,null,SSF Harbinger
9533,TRUE,67,Occultist,301844751,23,null,SSF Harbinger HC
9534,FALSE,95,Berserker,2882945094,29,null,Harbinger
9534,FALSE,80,Raider,886080657,24,null,SSF Harbinger
9534,FALSE,90,Juggernaut,2012137669,26,null,Hardcore Harbinger
9534,FALSE,67,Gladiator,301838390,26,null,SSF Harbinger HC
9535,FALSE,80,Trickster,886077655,19,null,SSF Harbinger
9535,TRUE,90,Trickster,2011969002,21,null,Hardcore Harbinger
9535,TRUE,67,Hierophant,301813646,13,null,SSF Harbinger HC
9535,FALSE,95,Pathfinder,2882942648,37,null,Harbinger
9536,FALSE,80,Ascendant,886002813,14,null,SSF Harbinger
9536,TRUE,67,Elementalist,301731667,21,null,SSF Harbinger HC
9536,TRUE,90,Gladiator,2011879546,40,null,Hardcore Harbinger
9536,FALSE,95,Raider,2882938578,30,null,Harbinger
9537,TRUE,90,Juggernaut,2011821170,22,xxseko,Hardcore Harbinger
9537,TRUE,67,Ascendant,301651227,23,null,SSF Harbinger HC
9537,FALSE,95,Raider,2882938287,36,imcute7,Harbinger
9537,FALSE,80,Trickster,885694719,29,null,SSF Harbinger
9538,FALSE,95,Pathfinder,2882937847,30,kirisaki1599,Harbinger
9538,FALSE,90,Slayer,2011808870,21,axterial,Hardcore Harbinger
9538,FALSE,80,Champion,885584310,18,null,SSF Harbinger
9538,TRUE,67,Gladiator,301619364,12,null,SSF Harbinger HC
9539,FALSE,80,Berserker,885507245,23,null,SSF Harbinger
9539,FALSE,67,Juggernaut,301560314,10,null,SSF Harbinger HC
9539,FALSE,95,Slayer,2882932537,40,null,Harbinger
9539,FALSE,90,Raider,2011768173,24,hamse83,Hardcore Harbinger
9540,TRUE,67,Berserker,301472124,16,null,SSF Harbinger HC
9540,FALSE,80,Ascendant,885413708,13,null,SSF Harbinger
9540,FALSE,95,Pathfinder,2882918725,35,null,Harbinger
9540,FALSE,90,Necromancer,2011731857,11,null,Hardcore Harbinger
9541,FALSE,95,Slayer,2882917489,28,null,Harbinger
9541,TRUE,67,Shadow,301457394,23,null,SSF Harbinger HC
9541,FALSE,80,Gladiator,885389531,20,null,SSF Harbinger
9541,TRUE,90,Trickster,2011668539,24,momofkentavr,Hardcore Harbinger
9542,FALSE,80,Berserker,885342364,19,null,SSF Harbinger
9542,FALSE,95,Raider,2882915569,40,null,Harbinger
9542,TRUE,67,Berserker,301450874,36,null,SSF Harbinger HC
9542,TRUE,90,Necromancer,2011646423,33,null,Hardcore Harbinger
9543,FALSE,80,Ranger,885263761,16,null,SSF Harbinger
9543,FALSE,95,Berserker,2882911488,27,null,Harbinger
9543,TRUE,67,Slayer,301402830,17,null,SSF Harbinger HC
9543,TRUE,90,Juggernaut,2011612636,26,null,Hardcore Harbinger
9544,TRUE,67,Inquisitor,301395838,11,null,SSF Harbinger HC
9544,FALSE,95,Inquisitor,2882887200,32,null,Harbinger
9544,FALSE,80,Inquisitor,885158612,23,null,SSF Harbinger
9544,TRUE,90,Guardian,2011604115,22,null,Hardcore Harbinger
9545,FALSE,80,Gladiator,885076683,15,null,SSF Harbinger
9545,TRUE,67,Juggernaut,301383340,36,jothelow,SSF Harbinger HC
9545,TRUE,90,Inquisitor,2011552040,30,haloth,Hardcore Harbinger
9545,FALSE,95,Pathfinder,2882884448,37,suarez523,Harbinger
9546,FALSE,80,Ranger,885047229,12,null,SSF Harbinger
9546,FALSE,95,Inquisitor,2882884371,39,oroshi_,Harbinger
9546,TRUE,67,Inquisitor,301363825,12,gionalatalpa,SSF Harbinger HC
9546,FALSE,90,Trickster,2011438244,37,grpgrp,Hardcore Harbinger
9547,TRUE,67,Saboteur,301350501,22,null,SSF Harbinger HC
9547,FALSE,90,Pathfinder,2011423061,40,systemmememe,Hardcore Harbinger
9547,FALSE,95,Berserker,2882883380,30,null,Harbinger
9547,FALSE,80,Inquisitor,884885695,13,null,SSF Harbinger
9548,TRUE,67,Hierophant,301310324,20,null,SSF Harbinger HC
9548,TRUE,90,Berserker,2011368345,16,arizonahawthorne,Hardcore Harbinger
9548,FALSE,95,Pathfinder,2882879489,38,aaronwbu,Harbinger
9548,FALSE,80,Gladiator,884838099,18,null,SSF Harbinger
9549,FALSE,80,Gladiator,884731908,17,null,SSF Harbinger
9549,FALSE,95,Slayer,2882877180,37,null,Harbinger
9549,TRUE,90,Gladiator,2011309033,31,null,Hardcore Harbinger
9549,TRUE,67,Inquisitor,301225199,40,null,SSF Harbinger HC
9550,FALSE,80,Berserker,884725567,13,null,SSF Harbinger
9550,TRUE,90,Guardian,2011286810,23,null,Hardcore Harbinger
9550,FALSE,67,Raider,301081250,26,null,SSF Harbinger HC
9550,FALSE,95,Raider,2882876293,39,null,Harbinger
9551,FALSE,95,Necromancer,2882864282,36,null,Harbinger
9551,FALSE,80,Deadeye,884708333,24,null,SSF Harbinger
9551,FALSE,67,Hierophant,301065205,31,null,SSF Harbinger HC
9551,TRUE,90,Trickster,2011265584,28,null,Hardcore Harbinger
9552,TRUE,67,Gladiator,301059841,17,tahabaz,SSF Harbinger HC
9552,FALSE,80,Chieftain,884699352,26,null,SSF Harbinger
9552,FALSE,90,Ascendant,2011239402,24,null,Hardcore Harbinger
9552,FALSE,95,Ascendant,2882861399,37,wearasmile,Harbinger
9553,FALSE,95,Berserker,2882851936,40,null,Harbinger
9553,TRUE,90,Inquisitor,2011170581,39,alebackes2,Hardcore Harbinger
9553,FALSE,80,Chieftain,884657530,20,null,SSF Harbinger
9553,TRUE,67,Gladiator,301056254,10,null,SSF Harbinger HC
9554,TRUE,67,Berserker,300873656,17,gbenko012191,SSF Harbinger HC
9554,FALSE,95,Elementalist,2882832947,39,null,Harbinger
9554,TRUE,90,Berserker,2011137768,24,null,Hardcore Harbinger
9554,FALSE,80,Necromancer,884600046,18,null,SSF Harbinger
9555,FALSE,95,Trickster,2882828928,39,null,Harbinger
9555,FALSE,90,Berserker,2011090647,25,thehunkysquirrel,Hardcore Harbinger
9555,TRUE,67,Raider,300820364,16,null,SSF Harbinger HC
9555,FALSE,80,Assassin,884329255,30,null,SSF Harbinger
9556,FALSE,95,Pathfinder,2882828101,36,null,Harbinger
9556,FALSE,90,Trickster,2011084052,39,null,Hardcore Harbinger
9556,TRUE,67,Raider,300789687,20,null,SSF Harbinger HC
9556,FALSE,80,Gladiator,884321928,21,null,SSF Harbinger
9557,TRUE,67,Berserker,300775655,20,null,SSF Harbinger HC
9557,TRUE,90,Occultist,2011051823,23,null,Hardcore Harbinger
9557,FALSE,80,Pathfinder,884262196,27,null,SSF Harbinger
9557,FALSE,95,Slayer,2882815183,36,opeth_land,Harbinger
9558,FALSE,95,Saboteur,2882805580,18,mainoffenderkz,Harbinger
9558,FALSE,80,Trickster,884246984,23,null,SSF Harbinger
9558,TRUE,67,Juggernaut,300758149,13,null,SSF Harbinger HC
9558,TRUE,90,Juggernaut,2010983850,32,null,Hardcore Harbinger
9559,FALSE,95,Berserker,2882805362,36,tempster201,Harbinger
9559,FALSE,80,Occultist,884223691,24,null,SSF Harbinger
9559,TRUE,90,Ascendant,2010915696,22,null,Hardcore Harbinger
9559,FALSE,67,Trickster,300662280,25,null,SSF Harbinger HC
9560,TRUE,67,Berserker,300578472,22,thebearmachine,SSF Harbinger HC
9560,FALSE,80,Assassin,884094830,15,null,SSF Harbinger
9560,FALSE,95,Raider,2882798954,40,beef225,Harbinger
9560,TRUE,90,Gladiator,2010894887,18,null,Hardcore Harbinger
9561,FALSE,80,Hierophant,884040586,16,null,SSF Harbinger
9561,FALSE,90,Champion,2010868989,23,null,Hardcore Harbinger
9561,TRUE,67,Inquisitor,300566935,33,djfredag,SSF Harbinger HC
9561,FALSE,95,Chieftain,2882782868,32,null,Harbinger
9562,FALSE,95,Pathfinder,2882779280,36,null,Harbinger
9562,FALSE,80,Hierophant,883941659,27,null,SSF Harbinger
9562,TRUE,67,Berserker,300554729,14,null,SSF Harbinger HC
9562,TRUE,90,Chieftain,2010840585,36,blackrobb1,Hardcore Harbinger
9563,FALSE,80,Necromancer,883921833,16,null,SSF Harbinger
9563,FALSE,95,Ascendant,2882778825,35,null,Harbinger
9563,FALSE,90,Berserker,2010710071,21,null,Hardcore Harbinger
9563,TRUE,67,Inquisitor,300499868,18,null,SSF Harbinger HC
9564,FALSE,95,Pathfinder,2882777479,36,null,Harbinger
9564,FALSE,80,Slayer,883904013,14,vonyuuki,SSF Harbinger
9564,FALSE,90,Guardian,2010615070,40,null,Hardcore Harbinger
9564,TRUE,67,Ascendant,300492510,21,null,SSF Harbinger HC
9565,TRUE,67,Assassin,300333180,36,jothelow,SSF Harbinger HC
9565,FALSE,95,Slayer,2882773197,28,null,Harbinger
9565,TRUE,90,Berserker,2010608219,36,null,Hardcore Harbinger
9565,FALSE,80,Necromancer,883903808,13,an4lyt1c,SSF Harbinger
9566,FALSE,80,Gladiator,883881229,24,null,SSF Harbinger
9566,FALSE,95,Assassin,2882769128,36,russraidboss,Harbinger
9566,TRUE,90,Necromancer,2010572750,21,mdvedh,Hardcore Harbinger
9566,FALSE,67,Gladiator,300182350,27,null,SSF Harbinger HC
9567,FALSE,95,Champion,2882767462,36,blupoke,Harbinger
9567,TRUE,67,Inquisitor,300150331,13,traejeek,SSF Harbinger HC
9567,TRUE,90,Trickster,2010489417,21,null,Hardcore Harbinger
9567,FALSE,80,Inquisitor,883644405,22,null,SSF Harbinger
9568,FALSE,90,Gladiator,2010444133,26,null,Hardcore Harbinger
9568,TRUE,67,Necromancer,300095405,13,null,SSF Harbinger HC
9568,FALSE,95,Chieftain,2882765875,36,null,Harbinger
9568,FALSE,80,Ascendant,883591461,24,null,SSF Harbinger
9569,FALSE,95,Slayer,2882743838,27,null,Harbinger
9569,FALSE,90,Trickster,2010441405,25,null,Hardcore Harbinger
9569,TRUE,67,Hierophant,300067394,11,null,SSF Harbinger HC
9569,FALSE,80,Ascendant,883518967,23,null,SSF Harbinger
9570,TRUE,67,Juggernaut,300058051,16,null,SSF Harbinger HC
9570,FALSE,95,Pathfinder,2882739248,28,null,Harbinger
9570,TRUE,90,Chieftain,2010391208,33,adamibalint,Hardcore Harbinger
9570,FALSE,80,Elementalist,883384707,39,xnecrobunny,SSF Harbinger
9571,FALSE,90,Berserker,2010343374,24,null,Hardcore Harbinger
9571,FALSE,80,Slayer,883303784,13,null,SSF Harbinger
9571,FALSE,67,Slayer,299879122,24,null,SSF Harbinger HC
9571,FALSE,95,Pathfinder,2882738537,40,datbootyisnice,Harbinger
9572,FALSE,90,Ascendant,2010308867,18,null,Hardcore Harbinger
9572,FALSE,80,Gladiator,883146904,24,shatraugh,SSF Harbinger
9572,TRUE,67,Necromancer,299797190,15,null,SSF Harbinger HC
9572,FALSE,95,Raider,2882737561,28,null,Harbinger
9573,TRUE,67,Hierophant,299690121,18,null,SSF Harbinger HC
9573,FALSE,80,Elementalist,883047308,14,null,SSF Harbinger
9573,TRUE,90,Hierophant,2010293819,24,azirkya,Hardcore Harbinger
9573,FALSE,95,Slayer,2882725948,40,nikolyak,Harbinger
9574,TRUE,67,Necromancer,299678483,40,mattfromsweden,SSF Harbinger HC
9574,FALSE,95,Ascendant,2882721913,33,null,Harbinger
9574,FALSE,80,Slayer,883041453,12,null,SSF Harbinger
9574,TRUE,90,Gladiator,2010290661,36,null,Hardcore Harbinger
9575,FALSE,95,Raider,2882716727,40,null,Harbinger
9575,TRUE,67,Assassin,299656273,10,null,SSF Harbinger HC
9575,FALSE,80,Juggernaut,882914520,19,null,SSF Harbinger
9575,TRUE,90,Champion,2010085210,27,atlistark,Hardcore Harbinger
9576,TRUE,90,Inquisitor,2010051017,21,null,Hardcore Harbinger
9576,FALSE,95,Pathfinder,2882705638,30,ly7100,Harbinger
9576,FALSE,80,Necromancer,882825603,26,seickly,SSF Harbinger
9576,TRUE,67,Ascendant,299640211,17,null,SSF Harbinger HC
9577,TRUE,90,Necromancer,2010020860,30,null,Hardcore Harbinger
9577,FALSE,80,Occultist,882615901,13,null,SSF Harbinger
9577,TRUE,67,Slayer,299517602,21,null,SSF Harbinger HC
9577,FALSE,95,Ascendant,2882703762,36,null,Harbinger
9578,TRUE,90,Raider,2009997969,26,horrorpoe,Hardcore Harbinger
9578,FALSE,95,Slayer,2882699595,40,null,Harbinger
9578,FALSE,67,Necromancer,299466057,26,mrpoulcodio,SSF Harbinger HC
9578,FALSE,80,Hierophant,882483979,23,null,SSF Harbinger
9579,TRUE,67,Necromancer,299405547,13,null,SSF Harbinger HC
9579,FALSE,80,Necromancer,882470113,16,papanya_velichayshiy,SSF Harbinger
9579,TRUE,90,Slayer,2009837104,24,kaunis_ajatus,Hardcore Harbinger
9579,FALSE,95,Slayer,2882677004,29,null,Harbinger
9580,FALSE,80,Deadeye,882415988,18,null,SSF Harbinger
9580,FALSE,90,Ascendant,2009809964,25,null,Hardcore Harbinger
9580,FALSE,95,Pathfinder,2882676718,40,null,Harbinger
9580,TRUE,67,Hierophant,299393434,21,null,SSF Harbinger HC
9581,FALSE,95,Ascendant,2882665681,31,hikariiichan,Harbinger
9581,TRUE,90,Gladiator,2009781664,21,tatefin,Hardcore Harbinger
9581,TRUE,67,Gladiator,299360370,21,null,SSF Harbinger HC
9581,FALSE,80,Juggernaut,882311084,17,null,SSF Harbinger
9582,FALSE,80,Trickster,882158276,19,null,SSF Harbinger
9582,FALSE,95,Champion,2882662664,34,null,Harbinger
9582,FALSE,90,Necromancer,2009772542,25,null,Hardcore Harbinger
9582,FALSE,67,Gladiator,299349887,13,null,SSF Harbinger HC
9583,TRUE,90,Trickster,2009748548,25,null,Hardcore Harbinger
9583,FALSE,80,Hierophant,882109993,11,null,SSF Harbinger
9583,FALSE,95,Berserker,2882653243,39,xavin3001,Harbinger
9583,TRUE,67,Berserker,299319343,8,null,SSF Harbinger HC
9584,FALSE,80,Saboteur,882017855,18,null,SSF Harbinger
9584,TRUE,90,Slayer,2009740636,27,null,Hardcore Harbinger
9584,FALSE,67,Inquisitor,299260390,31,helldemon007,SSF Harbinger HC
9584,FALSE,95,Ascendant,2882652548,38,null,Harbinger
9585,FALSE,95,Gladiator,2882648134,26,null,Harbinger
9585,FALSE,80,Trickster,881786608,32,null,SSF Harbinger
9585,TRUE,67,Hierophant,299238434,37,null,SSF Harbinger HC
9586,FALSE,80,Juggernaut,881727540,17,null,SSF Harbinger
9586,TRUE,67,Necromancer,299238222,21,null,SSF Harbinger HC
9586,TRUE,90,Necromancer,2009731300,29,null,Hardcore Harbinger
9586,FALSE,95,Inquisitor,2882640139,34,null,Harbinger
9587,TRUE,67,Necromancer,299217583,13,andrewsmonkey1,SSF Harbinger HC
9587,TRUE,90,Gladiator,2009574963,19,null,Hardcore Harbinger
9587,FALSE,80,Ascendant,881456542,17,null,SSF Harbinger
