rank,dead,level,class,experience,challenges,twitch,ladder
57,FALSE,97,Necromancer,3365893768,31,thaarkuun,SSF Harbinger
57,FALSE,100,Necromancer,4250334444,40,arianmsani,Harbinger
58,FALSE,100,Berserker,4250334444,29,pohx,Hardcore Harbinger
58,FALSE,100,Guardian,4250334444,40,toshicc,Harbinger
58,FALSE,96,Saboteur,3161223558,27,null,SSF Harbinger HC
58,FALSE,97,Inquisitor,3365091022,39,null,SSF Harbinger
59,TRUE,96,Saboteur,3158292041,23,null,SSF Harbinger HC
59,FALSE,100,Berserker,4250334444,40,elicit_,Harbinger
59,FALSE,97,Juggernaut,3364842061,30,null,SSF Harbinger
59,FALSE,100,Inquisitor,4250334444,21,moptoshtosh,Hardcore Harbinger
60,FALSE,100,Pathfinder,4250334444,40,ilpera,Harbinger
60,FALSE,97,Berserker,3364839121,30,null,SSF Harbinger
60,FALSE,100,Slayer,4250334444,24,vixqq,Hardcore Harbinger
60,FALSE,96,Pathfinder,3154643159,36,null,SSF Harbinger HC
61,FALSE,96,Slayer,3144944592,34,null,SSF Harbinger HC
61,FALSE,97,Berserker,3364828162,37,null,SSF Harbinger
61,FALSE,100,Raider,4250334444,30,jamil0l,Harbinger
61,FALSE,100,Necromancer,4250334444,29,pingulole,Hardcore Harbinger
62,FALSE,97,Slayer,3364828162,39,null,SSF Harbinger
62,TRUE,96,Elementalist,3132552502,31,null,SSF Harbinger HC
62,FALSE,100,Berserker,4250334444,40,akodemik,Harbinger
62,FALSE,100,Pathfinder,4250334444,29,null,Hardcore Harbinger
63,FALSE,96,Ascendant,3306707494,38,null,SSF Harbinger
63,FALSE,100,Slayer,4250334444,33,paychak1,Harbinger
63,TRUE,96,Necromancer,3129913784,26,null,SSF Harbinger HC
63,FALSE,100,Juggernaut,4250334444,40,null,Hardcore Harbinger
64,FALSE,96,Gladiator,3238644454,32,null,SSF Harbinger
64,FALSE,100,Necromancer,4250334444,37,null,Hardcore Harbinger
64,FALSE,100,Slayer,4250334444,31,spitzy1,Harbinger
64,TRUE,96,Gladiator,3123522863,28,null,SSF Harbinger HC
65,FALSE,96,Saboteur,3224189267,36,null,SSF Harbinger
65,FALSE,100,Champion,4250334444,25,null,Hardcore Harbinger
65,FALSE,96,Necromancer,3111731417,24,null,SSF Harbinger HC
65,FALSE,100,Raider,4250334444,40,null,Harbinger
66,FALSE,100,Inquisitor,4250334444,27,chopgoingfast,Harbinger
66,FALSE,100,Necromancer,4250334444,36,null,Hardcore Harbinger
66,FALSE,96,Slayer,3220131948,32,null,SSF Harbinger
66,FALSE,96,Ascendant,3111326876,28,serenitya1988,SSF Harbinger HC
67,FALSE,100,Inquisitor,4250334444,36,null,Hardcore Harbinger
67,TRUE,96,Gladiator,3111280300,22,null,SSF Harbinger HC
67,FALSE,96,Trickster,3208338292,39,null,SSF Harbinger
67,FALSE,100,Slayer,4250334444,30,null,Harbinger
68,FALSE,100,Berserker,4250334444,40,abulatanichan,Harbinger
68,TRUE,96,Occultist,3111280300,24,egheo17,SSF Harbinger HC
68,FALSE,96,Raider,3174302185,31,spoonska_,SSF Harbinger
68,FALSE,100,Guardian,4250334444,40,null,Hardcore Harbinger
69,TRUE,96,Pathfinder,3111280300,30,null,SSF Harbinger HC
69,FALSE,100,Occultist,4250334444,26,null,Hardcore Harbinger
69,FALSE,96,Raider,3164245112,31,zagt0r,SSF Harbinger
69,FALSE,100,Guardian,4250334444,36,null,Harbinger
70,FALSE,100,Berserker,4250334444,24,keelven,Hardcore Harbinger
70,FALSE,95,Berserker,3073549183,27,null,SSF Harbinger HC
70,FALSE,96,Occultist,3140914404,39,null,SSF Harbinger
70,FALSE,100,Necromancer,4250334444,40,brave_b0obs,Harbinger
71,FALSE,96,Trickster,3136069956,33,spellofmaya,SSF Harbinger
71,FALSE,100,Gladiator,4250334444,40,danihakera,Harbinger
71,FALSE,95,Trickster,3059865538,29,massfun,SSF Harbinger HC
71,FALSE,100,Necromancer,4250334444,36,null,Hardcore Harbinger
72,FALSE,100,Gladiator,4250334444,29,jenpusa,Harbinger
72,FALSE,100,Slayer,4250334444,36,deifytv,Hardcore Harbinger
72,FALSE,95,Inquisitor,3054284541,40,karvarousku,SSF Harbinger HC
72,FALSE,96,Gladiator,3134748614,32,null,SSF Harbinger
73,TRUE,100,Gladiator,4250334444,30,null,Hardcore Harbinger
73,FALSE,95,Trickster,3053892165,25,towerbrah,SSF Harbinger HC
73,FALSE,96,Necromancer,3131899505,38,null,SSF Harbinger
73,FALSE,100,Gladiator,4250334444,40,exalon19,Harbinger
74,FALSE,100,Champion,4250334444,36,null,Hardcore Harbinger
74,TRUE,95,Inquisitor,3042715706,27,ramonaraces,SSF Harbinger HC
74,FALSE,100,Necromancer,4250334444,31,null,Harbinger
74,FALSE,96,Ascendant,3129455790,34,hellfirefury,SSF Harbinger
75,FALSE,100,Raider,4250334444,40,jimmiesrusler,Harbinger
75,FALSE,100,Gladiator,4250334444,34,boosheeka,Hardcore Harbinger
75,FALSE,96,Trickster,3128233318,32,null,SSF Harbinger
75,FALSE,95,Necromancer,3030276619,36,null,SSF Harbinger HC
76,FALSE,100,Slayer,4250334444,36,null,Hardcore Harbinger
76,FALSE,96,Raider,3127221118,37,null,SSF Harbinger
76,FALSE,95,Trickster,3025992335,31,null,SSF Harbinger HC
76,FALSE,100,Raider,4250334444,26,null,Harbinger
77,TRUE,95,Slayer,3025077741,25,nynn__,SSF Harbinger HC
77,FALSE,100,Pathfinder,4250334444,40,ontop13,Harbinger
77,FALSE,96,Gladiator,3121426734,34,null,SSF Harbinger
77,FALSE,100,Necromancer,4250334444,38,inappropriatecommentguy,Hardcore Harbinger
78,FALSE,96,Gladiator,3121027276,22,null,SSF Harbinger
78,FALSE,100,Ascendant,4250334444,38,aspicherie,Harbinger
78,TRUE,95,Gladiator,3009860167,36,null,SSF Harbinger HC
78,FALSE,100,Guardian,4250334444,36,chemplay,Hardcore Harbinger
79,TRUE,95,Gladiator,3008579421,39,null,SSF Harbinger HC
79,FALSE,100,Pathfinder,4250334444,30,null,Harbinger
79,FALSE,96,Necromancer,3119385781,27,null,SSF Harbinger
79,TRUE,100,Saboteur,4250334444,40,hollow_1,Hardcore Harbinger
80,FALSE,100,Necromancer,4250334444,23,vanvink,Hardcore Harbinger
80,FALSE,100,Gladiator,4250334444,28,null,Harbinger
80,FALSE,96,Necromancer,3117613750,37,null,SSF Harbinger
80,FALSE,95,Guardian,3001392023,40,karvarousku,SSF Harbinger HC
81,FALSE,100,Gladiator,4250334444,26,null,Hardcore Harbinger
81,FALSE,100,Necromancer,4250334444,40,null,Harbinger
